KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,»esk· n·rodnÌ fronta,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
512184,Metylovice,1 388,900,895,"7,03 %","0,00 %","0,00 %","7,70 %","0,00 %","4,35 %","8,04 %","1,22 %","0,11 %","0,55 %","0,00 %","0,22 %","11,95 %","0,00 %","0,11 %","2,68 %","30,50 %","0,11 %","0,00 %","11,62 %","0,00 %","0,67 %","0,44 %","0,11 %","12,17 %","0,33 %"
507547,MilÌkov,1 079,578,578,"4,84 %","0,00 %","0,00 %","10,72 %","0,17 %","2,94 %","4,15 %","1,21 %","0,51 %","0,34 %","0,00 %","0,00 %","5,36 %","0,17 %","0,00 %","0,86 %","36,85 %","0,00 %","0,00 %","19,37 %","0,00 %","0,51 %","0,17 %","0,17 %","11,41 %","0,17 %"
598445,Mor·vka,954,600,592,"6,08 %","0,33 %","0,00 %","6,25 %","0,00 %","3,37 %","11,65 %","1,52 %","0,00 %","0,33 %","0,00 %","0,33 %","10,47 %","0,00 %","0,00 %","2,70 %","34,45 %","0,00 %","0,16 %","10,47 %","0,00 %","0,84 %","0,00 %","0,00 %","10,81 %","0,16 %"
598453,Mosty u Jablunkova,3 057,1 567,1 556,"5,71 %","0,06 %","0,00 %","9,83 %","0,00 %","3,66 %","4,62 %","0,96 %","0,38 %","0,64 %","0,12 %","0,00 %","9,70 %","0,00 %","0,12 %","1,79 %","36,88 %","0,00 %","0,12 %","15,68 %","0,00 %","0,57 %","0,19 %","0,19 %","8,41 %","0,25 %"
554014,N·vsÌ,3 084,1 634,1 627,"7,37 %","0,06 %","0,00 %","12,23 %","0,00 %","3,19 %","6,88 %","1,16 %","0,61 %","0,86 %","0,18 %","0,24 %","7,62 %","0,00 %","0,24 %","1,04 %","31,53 %","0,06 %","0,18 %","12,78 %","0,06 %","1,16 %","0,18 %","0,06 %","11,92 %","0,30 %"
552526,NiûnÌ Lhoty,215,150,150,"5,33 %","0,00 %","0,00 %","10,66 %","0,00 %","4,66 %","6,00 %","2,66 %","0,00 %","0,00 %","0,00 %","0,00 %","7,33 %","0,00 %","0,00 %","0,66 %","32,66 %","0,00 %","0,00 %","16,00 %","0,00 %","1,33 %","0,00 %","0,00 %","12,00 %","0,66 %"
552518,Noöovice,831,535,534,"6,17 %","0,18 %","0,00 %","6,36 %","0,00 %","1,68 %","5,24 %","0,18 %","0,56 %","1,12 %","0,18 %","0,18 %","8,61 %","0,00 %","0,00 %","2,05 %","48,87 %","0,00 %","0,00 %","5,24 %","0,18 %","0,93 %","0,37 %","0,18 %","11,61 %","0,00 %"
507091,N˝dek,1 674,902,900,"5,33 %","0,00 %","0,00 %","13,88 %","0,22 %","3,55 %","6,66 %","1,00 %","0,44 %","0,33 %","0,22 %","0,00 %","6,11 %","0,00 %","0,11 %","1,44 %","32,22 %","0,11 %","0,11 %","15,88 %","0,00 %","1,55 %","0,11 %","0,33 %","9,88 %","0,44 %"
598542,Ostravice,2 044,1 257,1 248,"10,33 %","0,08 %","0,00 %","8,73 %","0,32 %","3,52 %","7,45 %","0,72 %","0,72 %","1,36 %","0,16 %","0,08 %","6,57 %","0,00 %","0,16 %","6,25 %","36,05 %","0,24 %","0,00 %","5,04 %","0,00 %","0,32 %","0,32 %","0,08 %","11,21 %","0,24 %"
598551,Palkovice,2 639,1 871,1 859,"8,17 %","0,10 %","0,00 %","7,31 %","0,43 %","2,79 %","9,03 %","1,18 %","0,75 %","1,99 %","0,00 %","0,16 %","10,54 %","0,10 %","0,05 %","3,44 %","32,54 %","0,10 %","0,16 %","7,96 %","0,00 %","0,69 %","0,21 %","0,26 %","11,51 %","0,43 %"
